zero_crossing_rate,rms_energy,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_flatness,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,cens_1,cens_2,cens_3,cens_4,cens_5,cens_6,cens_7,cens_8,cens_9,cens_10,cens_11,cens_12,tempo,pitch,pitch_confidence,mel_spectrogram,formant_1,formant_2,formant_3,target
0.220737271,0.002252874,2488.762624,1813.981312,4480.487359,0.2097236,-704.8234,65.32887,-9.194159,21.375933,-0.21899927,6.9793468,-8.2752495,0.21810383,-13.070979,-2.2169058,1.0332372,-4.23245,3.5414193,0.55852205,0.54813,0.47060847,0.47264937,0.52523845,0.53040975,0.57546693,0.6067269,0.6316287,0.5952682,0.57749885,0.50070494,0.28459308,0.2347036,0.21928886,0.22292334,0.1873134,0.22795708,0.27703145,0.24547796,0.28480762,0.3533538,0.37399623,0.26631165,80.74951172,1711.3014,0.099149704,0.003607109,0,366.47974,1111.8154,1
0.246514214,0.002415779,2534.532267,1903.460767,4662.088013,0.11215826,-700.93744,66.999016,-12.7479925,26.037918,-0.14869267,6.999235,-7.0496044,-1.6537246,-13.77356,-0.8710029,1.3544908,-4.453222,3.1503978,0.5601423,0.5996189,0.55881774,0.50887424,0.5477191,0.5875614,0.545522,0.58950293,0.6218569,0.64295197,0.6336301,0.58418155,0.25096086,0.29010767,0.24598694,0.29535958,0.21364537,0.25933662,0.22273064,0.20446402,0.24267343,0.28906107,0.37125286,0.21101119,161.4990234,1848.0594,0.065836355,0.004184894,0,354.6439,1120.1567,1
0.256434231,0.002803701,2468.079759,1918.587747,4660.105864,0.11057302,-698.621,68.07142,-9.494283,22.35673,-2.3780174,7.4287705,-7.007281,-2.0184126,-12.320486,-3.0015483,0.8118971,-4.0309844,3.4207704,0.5658161,0.5975902,0.53139186,0.5610615,0.5626511,0.5383396,0.5386778,0.58823067,0.65378207,0.6568456,0.5602401,0.5042962,0.32677644,0.24005446,0.17250118,0.28439385,0.19776425,0.23249339,0.23669758,0.28097627,0.31487647,0.33005768,0.32342252,0.25563234,80.74951172,1836.2861,0.084550954,0.005791285,0,0,539.44794,1
0.285206147,0.002607711,2424.655282,1914.730762,4615.728537,0.0952178,-692.65216,66.72993,-7.5571547,22.618124,-1.2791361,9.585658,-6.774171,-3.4276001,-12.391199,-2.7073903,1.5742308,-2.9537296,2.505453,0.5890659,0.5717579,0.52233976,0.5105392,0.57605076,0.6091247,0.5738637,0.60066193,0.6397709,0.5807375,0.5691329,0.57178795,0.3064545,0.22894877,0.18310104,0.214657,0.19020782,0.24416098,0.26783735,0.23212174,0.25942338,0.29540986,0.38386545,0.29314375,64.59960938,1818.6469,0.07247843,0.005318274,0,0,564.1984,1
0.219589333,0.001649126,2528.445239,1901.680023,4624.220186,0.14546025,-734.8988,73.918495,-8.633616,25.30481,-1.4467887,9.277925,-9.334604,0.010516298,-12.244964,-4.2650304,1.3857807,-4.7125854,2.543847,0.47817296,0.5477559,0.5317398,0.5226083,0.54939604,0.5424568,0.5499956,0.574851,0.593911,0.63630176,0.5895379,0.45369247,0.20538184,0.23096196,0.2689225,0.30549783,0.1862028,0.1997279,0.24350706,0.25915128,0.29859605,0.30743816,0.42675164,0.24665803,117.4538352,1829.7788,0.05264845,0.001985294,0,0,509.02698,2
0.159361228,0.001748944,2486.193538,1831.355776,4449.919246,0.21832368,-714.365,76.647766,-7.5519376,20.035692,1.6816525,7.5257616,-9.512633,-1.2889769,-10.358583,-4.0861287,2.0340648,-3.5253358,1.3395162,0.47249746,0.4974959,0.47159415,0.5520123,0.56384915,0.5317555,0.57015455,0.60125214,0.60113645,0.59478647,0.5909088,0.54258996,0.24716373,0.23274994,0.20221947,0.27945533,0.19997068,0.26174125,0.34408712,0.3016692,0.26875952,0.28493568,0.31369203,0.21386543,107.6660156,1845.5629,0.056038734,0.002174191,0,0,503.95956,2
0.212256829,0.002608709,2529.661683,1828.265962,4538.51472,0.14682472,-705.74066,77.900795,-11.684035,24.850388,-4.432052,11.105408,-8.155723,-0.14794543,-11.822911,-3.18346,1.7150062,-2.4983063,2.8569543,0.48284993,0.51893836,0.5308942,0.5291884,0.5381415,0.57252777,0.55405635,0.58977574,0.5996457,0.60953575,0.5992006,0.54829407,0.18432744,0.18837145,0.17495528,0.21619008,0.19571307,0.24724743,0.29179788,0.27578744,0.34971473,0.36956084,0.3896791,0.22217727,60.09265988,1812.0938,0.082119405,0.00390857,0,0,575.2701,2
0.269664714,0.002662582,2353.408929,1841.661191,4414.378418,0.075782105,-706.903,80.93528,-10.872249,24.298855,-1.6835246,9.855162,-7.3436704,-1.359396,-11.1629505,-3.2375634,0.53849363,-2.7762034,2.9399226,0.49711946,0.5121863,0.53262323,0.53324157,0.52403086,0.55079365,0.5509215,0.59125644,0.61133665,0.6497686,0.6228683,0.58372927,0.18310037,0.16333523,0.15301172,0.2665288,0.18839587,0.22070795,0.26356953,0.25603825,0.34838095,0.37329128,0.42741236,0.21952105,95.703125,1807.7789,0.07411001,0.004591981,0,0,458.62207,2
0.156002808,0.00149825,2261.963654,1763.376524,4112.168884,0.21560046,-743.151,83.993484,-9.63571,26.165997,-2.1878033,10.791592,-11.23509,1.935322,-9.351786,-3.4585826,2.1981182,-1.8117117,1.9008753,0.44064933,0.48151064,0.4950572,0.5052212,0.5639454,0.61857074,0.65023375,0.6823355,0.6089772,0.52998257,0.53837407,0.4914895,0.19018328,0.1902354,0.1921105,0.23903677,0.23602934,0.2737504,0.37242806,0.32953194,0.27927032,0.2719212,0.30770403,0.18190463,117.4538352,1808.7897,0.04676513,0.001339917,0,0,483.56485,2
0.192416682,0.001606047,2397.202995,1761.85769,4243.783587,0.16856135,-707.1358,80.27768,-13.264071,23.425442,-3.6314595,9.118341,-11.434796,-1.3237131,-10.992799,-3.7006152,2.6210823,-2.7623167,0.72353363,0.49923018,0.5128273,0.5050712,0.557503,0.5617029,0.55910635,0.5777222,0.64080817,0.63759637,0.5891026,0.5431103,0.49763638,0.2652909,0.22345522,0.14149995,0.24571107,0.18801953,0.20863111,0.3088402,0.30944043,0.3104037,0.3120866,0.34613457,0.29049656,73.828125,1875.631,0.03938225,0.001582263,0,0,380.9234,2
